,Tweets,Tweets_duygu
0, sayın cumhurbaşkanım turizm için ertelendiğini biliyoruz fakat illa ki uygun zaman vardır lütfen sağlığımız ve psikol ;,negatif
1, bir kere ya bir kere gencinizi dinleyin biz yanlış bir şey demiyoruz ki herkes için doğrusunu söylüyoruz ;,pozitif
2,o kadar çok mağduruz ki neye üzüleceğime şaşırdım hiçbir yerden destek alamıyoruz yasak var dışarı çıkamıyoruz   ;,negatif
3, bu sınav tarihini değiştirirken pedaloglara ve psikologlara danışıldı mı tabiki hayır bu kararı kim verdi turizm bakanI ;,negatif
4, turizm yılı gençlik geleceğinizi kurtarır ;,negatif
5, sizden kıyak isteyen yok turizm yüzünden yediğiniz hakkımızı geri verin haftadır milletün planı alt üst oldu zaten  ;,negatif
6, bunu söylemek bile üzüyor ama turizm bu kadar değerliyse sınavı ağustos sonu veya eylül gibi alsanız da olur ;,negatif
7, mayıs ı gençlere armağan eden ulu önder mustafa kemal atatürk ten turizm için gençlerin canını ve geleceğini hiçe say ;,negatif
8, turizm mi önemli ülkenin geleceği olan bizler mi ;,negatif
9, erteleyin son iftarlarimizi rahat yapalım sağlık bakanı riskli diyor turizm bakanın olmayan beynine sokayim ;,negatif
10, turizm mi önemli cidden ;,negatif
11, hem turizm hemde bizler önemliyiz o yüzden sınavı daha ileri bir tarihe erteleyin ki iki tarafın gönlü olsun ;,negatif
12, mağdur olmasın diye tek bir ögrenci için tren durağı işleten japonya turizm geliri için milyonlarca ögrencisini hiçe sayan ülkem;,negatif
13, sınav eylül de olabilirdi aileler bu uzun maratondan bunalıp çocuklarına nefes aldırmak için tatile çıkabilirlerdi ;,negatif
14, turizm temmuz içinse ağustos eylule alın sınavı ;,pozitif
15, sınavı öne almadan önce maskelerin ve dezenfektanların bulaşmayı önleme de yetersiz olduğunu o yüzden evlerden çıkmamamız gerektiğini ne zaman anlayacaksınız ;,negatif
16, dünyaca ünlü turizm merkezi uzungöl de kovid sessizliği ;,pozitif
17, diyanet milyar liralık harcama ile bakanlığı geride bıraktı cumhuriyet  yer alan habere göre diyanet aylık harcaması ;,negatif
18, sayın erteleyin ki bayram olsun turizm gençlikten önemli değildir ;,negatif
19, geçen gün turizm bakanı olayında reise had bildirmeye çalışan saçma tavırlar içinde olan birkaç hesap vardı sinirlendim ;,negatif
20, bakanı mehmet nuri ersoy  istanbul  fethini işgal olarak nitelendirmesi türk milletince kabul edilecek mi ;,negatif
21,hem turizm hemde bizler önemliyiz o yüzden sınavı daha ileri bir tarihe erteleyin  iki tarafın gönlü olsun ;,negatif
22, trabzon  turizm sektörünün temsilcileri ile biraraya geldik pandemi  turizm sektörüne etkileri ile coronavirü ;,pozitif
23, kurum yerli ve yabancı turistler için önemli bir turizm merkezi olan ilçemizin çehresini de değiştirecek;,pozitif
